Concept	Tag	Languages	Families
GOURD		451	54
WEATHER		257	51
WHEEL		253	52
WHICH		424	62
WHISTLE		426	77
WIDOW		327	61
WIN		115	15
RUB		620	82
WOOD		628	79
WRAP		390	73
SPIN		361	60
YAWN		531	117
YOUNG		460	120
AFTER		349	106
BEAUTIFUL		607	122
BELT		361	70
BOIL (OF SKIN)		369	67
BORROW		400	58
BUTTER		233	46
HEADGEAR		265	68
CAVE		450	75
DEAF		477	77
DISEASE		256	36
DOWN		164	43
DREAM		315	21
FEAR (FRIGHT)	emotion	367	69
FENCE		551	72
FLAME		276	60
FLOAT		369	59
FLOW		538	86
FOOD		478	81
PAN		311	47
GARDEN		490	50
GOITER		188	39
GUMS		261	53
HALT (STOP)		99	17
ITCH		340	63
WOLF-LIKE ANIMAL		78	10
REMAIN		508	70
LAND (DESCEND)		181	47
LANGUAGE		412	74
OBEY		274	56
MACHETE		124	14
MAKE		172	33
MALE		239	16
COPULATE		245	63
MORTAR		326	62
FINGERNAIL OR TOENAIL		66	17
NEST		455	74
FISHNET		267	59
PATH OR ROAD		344	49
BORE		344	57
PINCH		356	59
POISON		345	54
PORCUPINE		186	14
POUND		366	53
PUBIC HAIR		211	52
PUS		350	61
PUT ON		440	75
QUIVER (FOR ARROWS)		79	9
SAGO		103	3
SHAKE		403	74
SHELF		262	50
SHOOT		639	85
SHY OR ASHAMED		99	20
SLIP		375	66
SONG		305	49
BEVERAGE		214	55
SOW SEEDS		363	53
SQUIRREL		293	39
STAB		139	20
TREE STUMP		313	54
THIN		334	82
TURN AROUND		478	62
TWIST		213	6
VAGINA		159	27
WOOL		263	53
WORD		533	120
TREE TRUNK		415	71
ANKLE	human body part	369	68
AT		189	38
BREATHE		345	100
CORRECT (RIGHT)		617	126
CUT OR HACK		88	18
BE DEAD OR DIE		322	71
DIGGING STICK		101	23
DREAMING OR DREAM		93	19
FAT (ORGANIC SUBSTANCE)		643	131
HE OR SHE		282	6
MALE PERSON		163	20
FLESH OR MEAT		219	28
NO OR NOT		177	19
OLD		678	94
RAINING OR RAIN		68	4
SPEARTHROWER		69	7
THROAT		699	136
TURN		264	76
WE (EXCLUSIVE)		342	96
FEMALE PERSON		131	20
PAINFUL OR SICK		99	19
CALF		426	52
TENDON		187	33
BASKET		576	73
TOBACCO		655	77
HILL		271	30
GRASSHOPPER		385	61
LARVA		131	5
SCORPION		489	59
BLIND		468	77
CRAWL		96	5
NORTH		408	65
EAST		452	70
WEST		443	69
POSSUM		120	2
BAG		165	24
SHOW		446	79
ALONE		157	33
MOUSE		197	36
WEAK		457	124
SOUTH		408	64
CANOE		430	73
FRESHWATER EEL		214	48
STINGRAY		188	43
HUT		434	59
WINNOWING		158	7
SMOKE (INHALE)		274	60
VINE		126	18
LAND		409	69
WASP		336	63
HAIR (BODY)		343	70
NASAL MUCUS (SNOT)		329	60
BOWL		293	53
DISH		308	67
CUP		334	68
YOKE		237	31
RAFT		185	44
FOOTPRINT		296	64
HOME		185	17
GRANDSON		295	67
GUEST		489	59
WALK (TAKE A WALK)		143	16
DIVE		278	69
THINK (REFLECT)		357	78
FIND		378	80
TURN (SOMETHING)		395	67
HAVE		283	57
DISAPPEAR		367	67
DRIP (EMIT LIQUID)		306	61
SWEAT (PERSPIRE)		260	66
SECOND		304	57
HALF		451	122
GREY	color	127	52
CLEVER		330	61
MAD		303	60
POINTED		384	98
FOR A LONG TIME		280	67
BEFORE		491	113
BESIDE		319	103
BETWEEN		199	58
BOARD		364	68
BRAVE		282	57
DRUNK		341	64
ENOUGH		291	61
FLUTE		312	61
LIFE		172	31
OX		211	45
PRICE		369	64
SAD	emotion	163	67
SOLDIER		294	56
CUT DOWN		426	62
CURE		443	64
DARE		223	39
HIDE (CONCEAL)		396	81
OWE		279	49
REPAIR		241	19
LIE (REST)		163	18
LET GO OR SET FREE		270	57
ROLL		308	61
RESCUE		311	64
BREAK (OF ROPE)		138	18
BEGIN OR START		265	54
STIR		179	17
WEIGH		284	54
WHY		412	121
WRIST	human body part	329	67
HOST		254	41
SIBLING		209	42
RAZOR		297	45
CHOP		270	66
SIT DOWN		227	31
PESTLE		446	63
GUN		284	45
SINK (DESCEND)		469	72
LIZARD		395	66
NAKED		340	69
WRONG		373	92
DITCH		318	49
MUTE		272	57
ORPHAN		296	60
CARPENTER		227	40
AGE		314	60
FIR		231	32
YOLK		229	52
SHELL		343	58
BUTTON		317	62
POCKET		242	50
BRICK		230	39
RAKE		230	40
LOOM		240	38
GUNPOWDER		30	2
CHIMNEY		192	34
THIRTEEN		110	6
FOURTEEN		68	2
FIFTEEN		293	49
SIXTEEN		39	2
SEVENTEEN		67	2
EIGHTEEN		124	4
NINETEEN		106	5
THIRTY		150	20
TRUE		393	75
LOUD		312	99
BRAID		299	62
BRAID (VERB) OR WEAVE (BASKET)		270	59
CHANGE		445	67
PROMISE		293	59
