Concept	Frequency	Family	Tag	Random_Walk_Community	Random_Walk_Links	Language_Count	Language_Count_Weighted	Cognate_Count	Cognate_Count_Weighted
FINGER	114	Atlantic-Congo	human body part	8	EAR:0.04;NECK:0.15;TOE:2.24	TOE:21.00	TOE:0.05	TOE:5.00	TOE:0.00
ARM	114	Sino-Tibetan	human body part	5	FOOT:0.01;CHEEK:0.12;CHEST:0.02;CHIN:0.01;ELBOW:0.38;FACE:0.02;FINGER:0.69;HAND:1.14;JAW:0.06;LEG:0.01;NECK:0.03;SHOULDER:0.18;TOE:0.50;TONGUE:0.01;TOOTH:0.01;WRIST:0.26	HAND:34.00;FINGER:1.00;WRIST:1.00;SHOULDER:1.00;ELBOW:1.00	HAND:0.09;FINGER:0.00;WRIST:0.00;SHOULDER:0.00;ELBOW:0.00	ELBOW:1.00	ELBOW:0.00
ARM	115	Atlantic-Congo	human body part	4	HEEL:0.14;KNEE:0.07;ELBOW:0.38;HAND:2.48;LEG:0.01	HAND:93.00;ELBOW:1.00	HAND:0.80;ELBOW:0.00	ELBOW:1.00	ELBOW:0.00
EAR	115	Atlantic-Congo	human body part	8	FINGER:0.04;HEAD:0.01;NECK:0.43;TOE:0.05;TONGUE:0.01	NECK:1.00	NECK:0.00	NECK:1.00	NECK:0.00
EYE	115	Atlantic-Congo	human body part	9	BREAST:0.02;FACE:0.36	FACE:1.00	FACE:0.00	FACE:1.00	FACE:0.00
KNEE	115	Atlantic-Congo	human body part	2	BREAST:0.01;BUTTOCKS:0.03;FOOT:0.09;HEEL:0.28;ARM:0.07;BACK:0.01;CHEEK:0.01;ELBOW:0.25;HAND:0.07;HIP:0.03;LEG:0.10	HEEL:1.00;ELBOW:1.00	HEEL:0.00;ELBOW:0.00	ELBOW:1.00	ELBOW:0.00
LEG	115	Atlantic-Congo	human body part	2	BUTTOCKS:0.26;FOOT:2.38;HEEL:0.37;KNEE:0.10;ARM:0.01;BACK:0.03;ELBOW:0.13;HAND:0.01;HIP:0.25	FOOT:95.00;HEEL:1.00	FOOT:0.83;HEEL:0.00	HEEL:1.00	HEEL:0.00
NECK	115	Atlantic-Congo	human body part	8	EAR:0.43;FINGER:0.15;TOE:0.25	EAR:1.00;TOE:1.00	EAR:0.00;TOE:0.00	TOE:1.00	TOE:0.00
FINGER	115	Sino-Tibetan	human body part	5	ARM:0.69;CHEEK:0.01;ELBOW:0.03;HAND:0.34;SHOULDER:0.01;TOE:1.33;WRIST:0.02	ARM:1.00;TOE:1.00	ARM:0.00;TOE:0.00	TOE:1.00	TOE:0.00
MOUTH	116	Atlantic-Congo	human body part	6	BACK:0.01;CHEEK:0.25;CHIN:0.06;JAW:0.59;LIP:2.41;NAVEL:0.01	LIP:56.00;JAW:3.00	LIP:0.30;JAW:0.00	JAW:2.00	JAW:0.00
TONGUE	116	Atlantic-Congo	human body part	5	BELLY:0.01;EAR:0.01;HEAD:0.03				
TOOTH	116	Atlantic-Congo	human body part	11	HEAD:0.01;NOSE:0.02				
HEAD	117	Atlantic-Congo	human body part	5	EAR:0.01;TONGUE:0.03;TOOTH:0.01				
NOSE	117	Atlantic-Congo	human body part	11	TOOTH:0.02				
FACE	117	Sino-Tibetan	human body part	7	ARM:0.02;CHEEK:0.33;CHIN:0.04;EYE:0.01;HAND:0.02;JAW:0.16;LIP:0.06;MOUTH:0.14;NOSE:0.01	CHEEK:2.00;MOUTH:2.00	CHEEK:0.00;MOUTH:0.00	MOUTH:2.00	MOUTH:0.00
HAND	117	Sino-Tibetan	human body part	5	FOOT:0.01;ARM:1.14;CHEEK:0.23;CHEST:0.01;CHIN:0.01;ELBOW:0.44;FACE:0.02;FINGER:0.34;JAW:0.09;LEG:0.01;NECK:0.03;SHOULDER:0.11;TOE:0.33;TONGUE:0.02;TOOTH:0.01;WRIST:0.22	ARM:34.00;CHEEK:1.00;ELBOW:2.00	ARM:0.09;CHEEK:0.00;ELBOW:0.00	ELBOW:2.00	ELBOW:0.00
TOOTH	117	Sino-Tibetan	human body part	6	ARM:0.01;BACK:0.01;BELLY:0.01;CHIN:0.01;EYE:0.01;HAND:0.01;HEAD:0.01;NECK:0.01;SHOULDER:0.01;TONGUE:0.01				
FEAR (FRIGHT)	12	Sino-Tibetan	emotion	2	HAPPY:0.01;LOVE:0.01;LIKE:0.03;WANT:0.01				
BREAST	12	Tungusic	human body part	1	CHEST:0.76				
HATE	12	Uralic	emotion	1	ANGER:1.03;FEAR (FRIGHT):0.07;BAD:0.20	ANGER:2.00	ANGER:0.03	ANGER:2.00	ANGER:0.03
HIP	12	Uralic	human body part	2	BUTTOCKS:1.02;FOOT:0.20;LEG:0.24	BUTTOCKS:1.00	BUTTOCKS:0.01	BUTTOCKS:1.00	BUTTOCKS:0.01
NIPPLE	12	Uralic	human body part	1	BREAST:1.65;CHEST:1.03	CHEST:1.00;BREAST:5.00	CHEST:0.01;BREAST:0.17	BREAST:4.00	BREAST:0.11
BELLY	123	Sino-Tibetan	human body part	6	TOOTH:0.01				
YELLOW	126	Sino-Tibetan	color	1	GREY:0.01;RED:0.01;BLACK:0.01;BLUE:0.03;GREEN:0.10	GREEN:2.00	GREEN:0.00	GREEN:2.00	GREEN:0.00
KNEE	127	Sino-Tibetan	human body part	1	BREAST:0.02;FOOT:0.01;HEAD:0.01;LEG:0.01				
BAD	13	Arawakan	emotion	7					
BAD	13	Tungusic	emotion	6					
GOOD	13	Tungusic	emotion	5					
ARM	13	Tungusic	human body part	3	ELBOW:1.19;HAND:2.79	HAND:12.00;ELBOW:1.00	HAND:0.85;ELBOW:0.06	ELBOW:1.00	ELBOW:0.06
BACK	13	Tungusic	human body part	4					
CHEEK	13	Tungusic	human body part	5	FACE:3.00	FACE:1.00	FACE:0.06	FACE:1.00	FACE:0.06
CHIN	13	Tungusic	human body part	6	JAW:3.00	JAW:1.00	JAW:0.06	JAW:1.00	JAW:0.06
EAR	13	Tungusic	human body part	7					
FOOT	13	Tungusic	human body part	2	LEG:3.00	LEG:12.00	LEG:0.85	LEG:2.00	LEG:0.02
HAND	13	Tungusic	human body part	3	ARM:2.79;ELBOW:0.66	ARM:12.00	ARM:0.85	ARM:1.00	ARM:0.01
LEG	13	Tungusic	human body part	2	FOOT:3.00	FOOT:12.00	FOOT:0.85	FOOT:2.00	FOOT:0.02
MOUTH	13	Tungusic	human body part	9					
NECK	13	Tungusic	human body part	10					
NOSE	13	Tungusic	human body part	11	TOOTH:0.21				
TONGUE	13	Tungusic	human body part	12					
TOOTH	13	Tungusic	human body part	11	NOSE:0.21				
GREY	13	Uralic	color	1	BLUE:0.08;YELLOW:0.97;GREEN:0.40	YELLOW:1.00	YELLOW:0.01	YELLOW:1.00	YELLOW:0.01
ANGER	13	Uralic	emotion	1	FEAR (FRIGHT):0.22;HATE:1.03;BAD:0.47	HATE:2.00;BAD:1.00	HATE:0.03;BAD:0.01	BAD:1.00	BAD:0.01
FEAR (FRIGHT)	13	Uralic	emotion	1	ANGER:0.22;HATE:0.07;BAD:0.24				
HAPPY	13	Uralic	emotion	3					
LIKE	13	Uralic	emotion	4	LOVE:1.44;WANT:0.69	LOVE:3.00;WANT:1.00	LOVE:0.05;WANT:0.01	WANT:1.00	WANT:0.01
REGRET	13	Uralic	emotion	5					
BUTTOCKS	13	Uralic	human body part	2	FOOT:0.10;HIP:1.02;LEG:0.16	HIP:1.00	HIP:0.01	HIP:1.00	HIP:0.01
RED	133	Sino-Tibetan	color	1	GREY:0.02;BLACK:0.04;BLUE:0.05;WHITE:0.01;YELLOW:0.01;GREEN:0.02	BLUE:1.00	BLUE:0.00	BLUE:1.00	BLUE:0.00
WHITE	133	Sino-Tibetan	color	1	RED:0.01;BLACK:0.01				
HATE	133	Sino-Tibetan	emotion	1	ENVY:0.39;WANT:0.01;ANGRY:0.14	ENVY:1.00;ANGRY:1.00	ENVY:0.00;ANGRY:0.00	ANGRY:1.00	ANGRY:0.00
NECK	135	Sino-Tibetan	human body part	5	BUTTOCKS:0.01;ARM:0.03;CHEST:0.04;ELBOW:0.15;HAND:0.03;HEAD:0.01;HIP:0.01;SHOULDER:0.01;TOOTH:0.01;WRIST:0.06	ELBOW:1.00	ELBOW:0.00	ELBOW:1.00	ELBOW:0.00
